date,Tipo,Volume,Price,Retorno,Saldo,Dummy,Open,High,Low,Close,Tick,Vol
2019-09-26 16:57:00,sell,9,105515,936,1130969,1,105515.0,105520.0,105515.0,105515.0,33,118
2019-09-26 17:00:01,sell,9,105575,1044,1132013,1,105580.0,105585.0,105575.0,105585.0,72,298
2019-09-30 15:45:21,buy,38,105370,-2238,1129775,0,105350.0,105355.0,105350.0,105350.0,57,342
2019-10-01 16:57:00,buy,19,104205,725,1130500,1,104200.0,104200.0,104195.0,104195.0,46,216
2019-10-01 17:00:01,buy,19,104170,858,1131358,1,104165.0,104170.0,104160.0,104165.0,132,436
2019-10-04 12:08:21,buy,38,101580,-2218,1129140,0,101570.0,101575.0,101565.0,101565.0,65,193
2019-10-04 13:27:43,buy,38,101550,-2314,1126826,0,101515.0,101520.0,101515.0,101520.0,28,139
2019-10-04 16:57:00,sell,19,102740,2538,1129364,1,102740.0,102745.0,102730.0,102735.0,305,1995
2019-10-04 17:00:01,sell,19,102635,2139,1131503,1,102630.0,102630.0,102615.0,102625.0,167,643
2019-10-08 12:33:16,sell,38,101115,-2258,1129245,0,101100.0,101105.0,101095.0,101095.0,89,361
2019-10-09 16:57:00,sell,19,101350,933,1130178,1,101350.0,101355.0,101350.0,101350.0,40,166
2019-10-09 17:00:01,sell,19,101355,952,1131130,1,101325.0,101330.0,101315.0,101315.0,104,400
2019-10-15 16:22:16,sell,38,104630,-2238,1128892,0,104660.0,104665.0,104660.0,104665.0,5,10
2019-10-16 10:41:08,buy,38,104845,-2198,1126694,0,104810.0,104820.0,104805.0,104805.0,125,542
2019-10-16 13:59:32,buy,38,105095,-2238,1124456,0,105095.0,105095.0,105085.0,105085.0,27,71
2019-10-16 16:57:00,sell,19,106240,3327,1127783,1,106240.0,106240.0,106235.0,106240.0,7,17
2019-10-16 17:00:01,sell,19,106240,3327,1131110,1,106235.0,106240.0,106230.0,106235.0,43,148
2019-10-18 11:35:13,sell,38,105980,-2276,1128834,0,106005.0,106020.0,106000.0,106020.0,443,1435
2019-10-18 14:21:21,buy,38,105715,-2276,1126558,0,105615.0,105620.0,105615.0,105615.0,14,64
2019-10-21 12:01:21,buy,38,105815,-2236,1124322,0,105715.0,105720.0,105715.0,105720.0,21,53
2019-10-21 12:54:10,buy,38,105825,-2294,1122028,0,105770.0,105770.0,105760.0,105760.0,130,454
2019-10-21 16:57:00,sell,19,106665,1930,1123958,1,106665.0,106665.0,106660.0,106665.0,30,75
