date,Tipo,Volume,Price,SL,TP,Saldo,Price Vol,Scaled Price Return,Retorno,Dummy,Open,High,Low,Close,Tick,Vol,Returns,Scaled Returns,Proba Returns,Candle Size,MM20,MM10,MM5,MM2
2019-06-27 16:57:00,sell,19,101460,100560,103460,1101315,0.0078,0.371774491,2310,1,101460.0,101460.0,101450.0,101455.0,46,144,0.007998012916045703,-0.04387610657508834,0.39932646970460567,10.0,10.0,9.0,11.0,15.0
2019-06-27 17:00:01,sell,19,101455,100560,103460,1103606,0.0,-0.035365668,2291,1,101440.0,101450.0,101440.0,101450.0,24,63,-4.928293332019122e-05,-0.04387610657508834,0.39932646970460567,10.0,9.5,9.0,11.0,10.0
2019-07-02 13:30:09,buy,38,102110,102105,99205,1101388,0.0065,0.302178085,-2218,0,102120.0,102145.0,102120.0,102140.0,417,1414,0.0068013799901429275,-0.04387610657508834,0.39932646970460567,25.0,10.5,10.5,15.0,17.5
2019-07-02 16:57:00,buy,19,101320,101580,98680,1101286,-0.0077,-0.434246728,-102,0,101315.0,101325.0,101315.0,101325.0,47,192,-0.007979244174662229,-0.04387610657508834,0.39932646970460567,10.0,10.5,11.0,15.0,17.5
2019-07-02 17:00:01,buy,19,101365,101580,98680,1101013,0.0004,-0.009763624,-273,0,101375.0,101380.0,101360.0,101365.0,114,539,0.0003947693066864051,-0.04387610657508834,0.39932646970460567,20.0,11.0,12.5,15.0,15.0
2019-07-08 16:57:00,buy,19,105115,105350,102450,1100806,0.037,1.886757139,-207,0,105110.0,105120.0,105110.0,105120.0,51,325,0.03704434469491442,-0.04387610657508834,0.39932646970460567,10.0,11.0,13.0,15.0,15.0
2019-07-08 17:00:01,buy,19,105080,105350,102450,1100732,-0.0003,-0.050085436,-74,0,105065.0,105070.0,105065.0,105065.0,46,167,-0.0005232115677321156,-0.04387610657508834,0.39932646970460567,5.0,10.25,12.5,14.0,7.5
2019-07-12 16:57:00,buy,19,104590,105890,102990,1104602,-0.0047,-0.274764296,3870,1,104585.0,104585.0,104585.0,104585.0,5,13,-0.004568600390234616,-0.04387610657508834,0.39932646970460567,0.0,10.0,12.0,9.0,2.5
2019-07-12 17:00:01,buy,19,104650,105890,102990,1108244,0.0006,-0.003042618,3642,1,104655.0,104655.0,104645.0,104650.0,21,51,0.0006215040397762585,-0.04387610657508834,0.39932646970460567,10.0,10.0,12.0,9.0,5.0
2019-07-16 16:57:00,buy,19,104185,104525,101625,1108446,-0.0044,-0.263363077,202,1,104180.0,104185.0,104180.0,104185.0,19,64,-0.004443382704252269,-0.04387610657508834,0.39932646970460567,5.0,9.75,10.5,6.0,7.5
2019-07-16 17:00:01,buy,19,104185,104525,101625,1108648,0.0,-0.032808644,202,1,104180.0,104185.0,104180.0,104180.0,36,116,-4.799155348658636e-05,-0.04387610657508834,0.39932646970460567,5.0,9.5,10.0,5.0,5.0
2019-07-18 16:57:00,sell,19,105085,104230,107130,1110787,0.0086,0.415417383,2139,1,105085.0,105090.0,105080.0,105080.0,19,148,0.008638894221539644,-0.04387610657508834,0.39932646970460567,10.0,9.5,10.0,6.0,7.5
2019-07-18 17:00:01,sell,19,105080,104230,107130,1112907,0.0,-0.035277461,2120,1,105095.0,105100.0,105095.0,105100.0,71,548,0.00019033117624666921,-0.04387610657508834,0.39932646970460567,5.0,9.25,8.0,7.0,7.5
2019-07-22 16:57:00,buy,19,104225,104570,101670,1113118,-0.0081,-0.454996568,211,1,104220.0,104225.0,104220.0,104225.0,9,38,-0.008325404376784015,-0.04387610657508834,0.39932646970460567,5.0,9.25,7.5,6.0,5.0
2019-07-22 17:00:01,buy,19,104285,104570,101670,1113101,0.0006,-0.002938377,-17,0,104270.0,104275.0,104260.0,104260.0,166,761,0.00033581194531062604,-0.04387610657508834,0.39932646970460567,15.0,9.75,7.0,8.0,10.0
2019-07-24 15:26:21,sell,38,104300,104305,107205,1110843,0.0001,-0.025345373,-2258,0,104335.0,104335.0,104330.0,104335.0,147,1081,0.0007193554575100709,-0.04387610657508834,0.39932646970460567,5.0,9.75,6.5,8.0,10.0
2019-07-25 16:57:00,buy,9,102780,104760,101860,1113867,-0.0146,-0.788977935,3024,1,102775.0,102775.0,102765.0,102770.0,27,146,-0.014999760387214262,-0.04387610657508834,0.39932646970460567,10.0,9.75,7.0,8.0,7.5
2019-07-25 17:00:01,buy,9,102835,104760,101860,1116792,0.0005,-0.005042611,2925,1,102840.0,102840.0,102835.0,102840.0,30,98,0.0006811326262527975,-0.04387610657508834,0.39932646970460567,5.0,9.75,7.5,8.0,7.5
2019-07-29 16:57:00,sell,19,103585,102850,105750,1118485,0.0073,0.345616573,1693,1,103585.0,103590.0,103585.0,103590.0,34,187,0.007292882147024504,-0.04387610657508834,0.39932646970460567,5.0,9.5,7.0,8.0,5.0
2019-07-29 17:00:01,sell,19,103685,102850,105750,1120558,0.001,0.017282724,2073,1,103680.0,103690.0,103680.0,103685.0,43,117,0.0009170769379283714,-0.04387610657508834,0.39932646970460567,10.0,9.0,7.5,7.0,7.5
2019-07-31 10:45:14,buy,38,103095,103070,100170,1118188,-0.0057,-0.328062675,-2370,0,102960.0,102970.0,102955.0,102965.0,79,266,-0.006944109562617543,-0.04387610657508834,0.39932646970460567,15.0,9.25,8.5,9.0,12.5
2019-07-31 15:00:02,buy,38,102680,102655,99755,1115818,-0.004,-0.241675846,-2370,0,102590.0,102655.0,102560.0,102645.0,1455,5103,-0.0031078521827805567,-0.04387610657508834,0.39932646970460567,95.0,13.5,17.0,26.0,55.0
2019-08-01 14:35:05,sell,38,103230,103250,106150,1113466,0.0054,0.245122098,-2352,0,103275.0,103285.0,103250.0,103265.0,402,1739,0.006040235764041112,-0.04387610657508834,0.39932646970460567,35.0,14.0,20.0,32.0,65.0
2019-08-12 11:25:10,buy,38,102005,101985,99085,1111154,-0.0119,-0.648538082,-2312,0,101975.0,101980.0,101965.0,101970.0,158,427,-0.012540551009538567,-0.04387610657508834,0.39932646970460567,15.0,14.25,21.0,34.0,25.0
2019-08-19 16:57:00,buy,9,100045,101465,98565,1113170,-0.0192,-1.029806829,2016,1,100040.0,100040.0,100035.0,100035.0,43,100,-0.018976169461606355,-0.04387610657508834,0.39932646970460567,5.0,13.5,20.0,33.0,10.0
2019-08-19 17:00:01,buy,9,100000,101465,98565,1115267,-0.0004,-0.056147355,2097,1,99960.0,99965.0,99950.0,99950.0,149,479,-0.000849702604088569,-0.04387610657508834,0.39932646970460567,15.0,13.75,21.0,33.0,10.0
2019-08-21 10:39:04,buy,38,100740,100735,97835,1113029,0.0074,0.351156213,-2238,0,100730.0,100735.0,100710.0,100715.0,261,731,0.0076538269134567285,-0.04387610657508834,0.39932646970460567,25.0,14.75,22.5,19.0,20.0
